restaurant_name,location,status,rating,full address,cusine,fssai
555 DARJEELING UNIQUE ASIAN CUISINE,Arekere,Closed,--,"555 DARJEELING UNIQUE ASIAN CUISINE, LVO 025 - BENGALURU, Karnataka",Asian,License No. 21219192001926
Foreign Cafe,Arekere,Closed,--,"Foreign Cafe, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","American,Italian,Continental,Desserts,Beverages",Applied for license
Hotel Empire,Arekere,Closed,4.0,"Hotel Empire, ""Empire Restaurant #148/1, Bilekahalli Village,Near IIMBBegur HobliBangalore- 560076""","Arabian,Chettinad,Coastal,Mughlai,North Indian,Seafood",License No. 11217334000768
Food Love,Arekere,Closed,--,"Food Love, A104, Divya Jyothi Royal County Apartments Aishwarya Crystal layout, Singsandra Bengaluru 560068",Fast Food,License No. 21219010000901
YumYumSouth,Arekere,Closed,3.6,"YumYumSouth, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","South Indian,Biryani,Desserts,Beverages",Applied for license
Thalis Of India,Arekere,Closed,3.5,"Thalis Of India, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","North Indian,South Indian,Biryani,Desserts,Beverages",Applied for license
Bombay Sandwich Company,Arekere,Closed,3.4,"Bombay Sandwich Company, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","Beverages,Desserts,Fast Food",Applied for license
Pallavi Restaurant,Arekere,Closed,4.1,"Pallavi Restaurant, Hegde's Corner, #39, opp. DLF new town, Classic Paradise Layout, Begur, Bengaluru, Karnataka 560068","North Indian,Chinese,Biryani",License No. 21219193001310
Nimbus Nest Ice Cream,Arekere,Closed,--,"Nimbus Nest Ice Cream, no.33, 8th Main Road, Nataraja Layout, Santrupthi Nagar, JP Nagar 7th Phase, J. P. Nagar, Bangalore, Bengaluru, Karnataka 560078, India","Ice Cream,Juices",License No. 11219334001232
MUTTONWAH,Arekere,Closed,--,"MUTTONWAH, No. 879/37, T. Ramiah Garden, 2nd Cross, SOS Village Post, Bannerghatta Main Road, B.B.M.P South, Bangalore South, Bangalore Urban (Karnataka), - 560076","Mughlai,North Indian,Biryani",License No. 21219010001878
Royal Iceberry,Arekere,Closed,--,"Royal Iceberry, 60/3, Manipal County Rd, Aishwarya Crystal Layout, Singasandra, Bengaluru, Karnataka 560068",Desserts,License No. 21218192000683
LASSI EMPIRE,Arekere,Closed,3.8,"LASSI EMPIRE, Shop No 6 , Begur Hullimavu Road, Akshaya Nagar, Bugur Hobli","Juices,Beverages",License No. 21219010002726
Arabian Mexico,Arekere,Closed,4.2,"Arabian Mexico, #21 1st cross Lakshmi layout opp deja apartment Arekere Mico Layout Bangalore 560076","Arabian,Fast Food,Biryani",License No. 21218192001086
Adiga's,Arekere,-- MINS,3.9,"Adiga's, No. 204, 11th K.M. Stone, Bilekahalli, Bannerghatta Road","South Indian,North Indian,Chinese,Thalis,Fast Food,Juices,Desserts",License No. 11215334000720
Lassi huts,Arekere,Closed,--,"Lassi huts, 37/6 1ST CROSS 3RD MAIN ROAD BISSMILAHNAGAR BANNERGATTA ROAD BANGALORE 560029",Fast Food,License No. 21219194000711
Bombay Kulfis,Arekere,Closed,--,"Bombay Kulfis, 6D 3rd floor,aishwarya arcade hanuman nagar,BTM layout sir M vishveshwaraiag roas,opp nano hospital,arekere 560076","Ice Cream,Desserts",License No. 21219193001423
Meghana Foods,Arekere,Closed,4.3,"Meghana Foods, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore","Andhra,Biryani",Applied for license
Eat N Pack,Arekere,Closed,3.8,"Eat N Pack, No:52, Sir M Vishveswaraya Road,BTM Layout,4th Stage,Near Bilekhalli RTO, Bangalore 560076","Chinese,South Indian,Continental,Fast Food,Kerala,Andhra,Beverages,Seafood,Hyderabadi",License No. 11218334002315
M Aura Cafe Kitchen and more,Arekere,-- MINS,3.4,"M Aura Cafe Kitchen and more, Akshaya Vana, Akshayanagar, Bengaluru, Karnataka 560076","North Indian,Mughlai,Continental,Chinese,Desserts",Applied for license
SALADrink,Arekere,Closed,--,"SALADrink, 1st Main Road, Arekere MICO Layout 2nd stage, 1st Stage, Araka Mico Layout, Arakere, Bangalore, Karnataka 560076, India","Beverages,Ice Cream,Juices",License No. 21219193000605
Chefeana Asali Punjabi,Arekere,Closed,--,"Chefeana Asali Punjabi, Sir M Visveswaraya Road, Nyanappana Halli, Hulimavu, Bengaluru, Karnataka 560076, India","Chinese,North Indian",License No. 21219192000268
The Variety Bowl,Arekere,Closed,--,"The Variety Bowl, SRI KRISHNA GRAND 44 Ramachandra Arcade, Manipal County Rd, Duo City Layout, Singasandra, Bengaluru, Karnataka 560068","North Indian,South Indian",License No. 11219334001874
Burgery,Arekere,Closed,2.8,"Burgery, No 45, 14th main , JP nagar 7th phase, Puttehahalli Palya Bangalore, Landmar Opposite to Samsung Smart Cafe","Fast Food,Desserts,Beverages",Applied for license
Homely Kitchen,Arekere,Closed,--,"Homely Kitchen, NO.69, 2ND FLOOR, UTTARAHALLI HOBLI, KOTHANOOR, JAYANAGAR, BANGALORE, B.B.M.P SOUTH (KARNATAKA)-560078",Indian,License No. 21219193001327
Cafe Coffee Day,Arekere,Closed,3.4,"Cafe Coffee Day, 524, 60 Feet Road,Vijaya Bank LayoutOpp Police Station, Belekahalli","Cafe,Fast Food",License No. 11216334000674
Cafe Zuppa,Arekere,Closed,4.1,"Cafe Zuppa, 97, next to brigade millennium, j p.nagar 7th phase, Bangalore 560078",Italian,License No. 21218193001148
Behrouz Biryani,Arekere,-- MINS,4.1,"Behrouz Biryani, No 161,161 A,166, First floor, ,Vinayaka Nagar,Bangalore,KARNATAKA","Biryani,Mughlai",License No. 11218334000189
Nuty,Arekere,Closed,--,"Nuty, No 81/4A , 80 Ft Road , opp  Royal Meenakshi, Mall , Bannerghatta Road , Hulimav , Bangalore",Indian,Applied for license
WarmOven Cake & Desserts,Arekere,-- MINS,4.2,"WarmOven Cake & Desserts, 6D, 3rd Floor, Aishwarya Arcade, Hanuman Nagar, BTM Layout, Sir M Vishveshwaraya Road, Opp Nano Hospital, Arekere, Bangalore",Bakery,Applied for license
Juannos - Shake the Shake,Arekere,-- MINS,--,"Juannos - Shake the Shake, #52, 1st Floor, 3rd Cross, Omkar Nagar Arkere gateNear Reliance Store, Next to Drunken Monkey",Beverages,License No. 21218008000695
Iceberg Icecreams,Arekere,Closed,4.3,"Iceberg Icecreams, No.467,Ground Floor,Aishwarya Arcade,DLF Road,Arekere,Bengaluru - 560076.","Desserts,Beverages,Ice Cream",License No. 21219193001118
FlyingKombucha,Arekere,Closed,--,"FlyingKombucha, C/O Biggies Burger 'n' More, 144, Ground floor, Santhrupthi Nagar, Millennium Ave, Kothnoor Dinne, JP Nagar 7th Phase, Bengaluru, Karnataka 560078","American,Beverages,Cafe,Fast Food,Korean,Chinese,Japanese",License No. 21219010003050
Burger King,Arekere,Closed,3.9,"Burger King, Unit No-T001B & T007, Royal Meenakasi Mall, 3rd Floor, Opp. Meenakshi Temple, Hulimavu, Bannerghatta Road, Bangalore-560076","American,Fast Food",License No. 11217334000401
Keto Garden,Arekere,Closed,4.1,"Keto Garden, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","Keto,Healthy Food",Applied for license
Street Foods by Punjab Grill,Arekere,Closed,4.0,"Street Foods by Punjab Grill, 3RD FLOOR ,FOOD COURT,ROYAL MEENAKSHI MALL,BANNERGHATTA MAIN ROAD,BENGALURU,KARNATAKA","North Indian,Indian,Biryani,Punjabi,Fast Food,Kebabs,Mughlai,Desserts",License No. 11218334000700
Rajdhani,Arekere,Closed,4.1,"Rajdhani, Level - 3, Royal Meenakshi Mall, Opp. Meenakshi Sundareshwara Temple, Bannerghatta Road, Bangalore","Rajasthani,Gujarati",License No. 11217334001171
Happy Tummies,Arekere,Closed,4.0,"Happy Tummies,  Shop No.4, KSV Complex, No.1/A, 34/4, D.C. Halli Main RoadD, Opp.PK Home needs & SBM, Devarachikkanahalli Main Rd, Maruthi Layout, Seenappa Layout, Bommanahalli, Bengaluru, Karnataka 560076","Indian,Continental,North Indian,Chinese",License No. 11219334001532
Durban Bunny Chow,Arekere,Closed,--,"Durban Bunny Chow, No.9,Ground Floor,1st Main, Vijayashree Layout,	Bannerghatta	Road,	Bangalore	-	560076",Fast Food,License No. 21219010001879
HOT BURG,Arekere,Closed,4.5,"HOT BURG, 12/1, Arekere Signal OPP Reliance Mart Bannargata Road Bengaluru, 560076","Fast Food,Ice Cream,Beverages",License No. 21218194000790
savannahs naati mane,Arekere,Closed,--,"savannahs naati mane, Savannahs naati manae, 1st Main Road, Duo Heights layout, Devarachikkanalli, Bangalore 560076","Beverages,Biryani,South Indian",License No. 11219334000396
Simply Indian,Arekere,Closed,4.2,"Simply Indian, #500, 2ndBlock,2ndPhase, BTM layout,6th stage,Bannergahtta, Bengaluru, Karnataka 560076","Coastal,Chinese,Biryani,Bengali",License No. 11219334001471
AUGUSTA CLUB,Arekere,Closed,--,"AUGUSTA CLUB, AUGUSTA CLUB, NO.135, BRIGADE GARDENIA J.P NAGAR 8TH PHASE, BANGALORE., District - B.B.M.P South, STATE - Karnataka 560078","North Indian,Chinese",License No. 11215334000303
Bombay Kulfi,Arekere,Closed,--,"Bombay Kulfi, 151, Bannerghatta Road , bangalore 560074",Desserts,License No. 21218194001090
Tandoor plaza,Arekere,Closed,--,"Tandoor plaza, G.F NO 1 ,VENKATATADERI LAYOUT ,DORESANIPALYA BILEKHALLI ,BANNERGHATA ROAD ,BEHIND APOLLO H, BANGALORE","Tandoor ,indian,,Biryani,Chinese",License No. 21219010002028
MRA Bakery And Confectionary,Arekere,Closed,--,"MRA Bakery And Confectionary, DC HALLI MAIN ROAD, DEVARACHIKKANAHALLI, BEGUR HOBLI","Bakery,Sweets",License No. 11219333000591
Lassi Empire,Arekere,Closed,--,"Lassi Empire, Shop No 6, Begur- Hullimavu Road, Akshaya Nagar , Near SBI DLF newtown Branch, Yelenahalli Village, Begur Hobli, Bengaluru-56--76 ","Beverages,Juices,Ice Cream",License No. 21219010000212
Balaji bombay vada pav Gujarati dabeli,Arekere,Closed,--,"Balaji bombay vada pav Gujarati dabeli, 9, 12th Cross Rd Commercial Area, Jeewan Griha Colony, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078","North Indian,Fast Food",License No. 21219009000238
Sri Udupi Park,Arekere,-- MINS,4.0,"Sri Udupi Park, Hulimavu, Bengaluru, Karnataka, India",South Indian,License No. 11219334001330
Shree Guru Raghavendra Chats - Chintamani Specials,Arekere,Closed,--,"Shree Guru Raghavendra Chats - Chintamani Specials, No 1, 130/133, Aragini Comforts, Second cross, Pai layout, Hulimavu, BG road 560076",North Indian,License No. 21218194000973
CONNER STONE,Arekere,Closed,--,"CONNER STONE, Devarachiknahalli, Bommanahalli, Bengaluru, Karnataka, India",Ice Cream,License No. 11219334001900
The Great Hungry Box,Arekere,Closed,3.4,"The Great Hungry Box, Anugraha building, Nanjappa Layout, Venugopal Reddy Layout, Arekere, Bengaluru, Karnataka, India","Chinese,North Indian,Combo",License No. 11219334001032
Fattoush Restaurant,Arekere,Closed,4.0,"Fattoush Restaurant, Fattoush Restaurant, Opp. IIMB, Above A2B Restaurant, JP Nagar, Banarghatta Main Road, B'lore-76","North Indian,Chinese,Biryani,Arabian,Desserts,Continental,Beverages",Applied for license
Brews N Bites,Arekere,Closed,--,"Brews N Bites, No- 81/3/2, opp Royal Meenakshi Mall, hulimavu police station road, hulimavu, bangalore-560076","Chinese,Fast Food,Italian,Beverages,Seafood",License No. 11218334001650
Five Star Chicken,Arekere,Closed,--,"Five Star Chicken, No. 43, Ground Floor, R R Commercial Complex, SY No - 316/1, Begur Hulimavu Road, Begur Hobli, South Bangalore, Bangalore - 560068","Fast Food,Beverages",License No. 21218010000840
Thalassery Cafe,Arekere,Closed,--,"Thalassery Cafe, Thalassery Restaurant, Bannerghatta Main Road, Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka, India","Beverages,Kerala,Snacks",License No. 11218334002010
Biryani Durbar,Arekere,Closed,3.4,"Biryani Durbar, # 452, 1st Floor, 2nd Main 8th cross, Arekere Lakshmi Layout, Bangalore 560076",Mughlai,License No. 11219334002340
Moms Flavor,Arekere,Closed,3.9,"Moms Flavor, No. 879/37, T. Ramiah Garden, 2nd Cross, SOS Village Post, Bannerghatta Main Road, Bommanahalli, B.B.M.P South (Karnataka), - 560076","North Indian,Chinese",License No. 21219192000648
Ore cafe,Arekere,Closed,2.9,"Ore cafe, Doddamma Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076","Beverages,Chinese,Desserts,American",Applied for license
Healthie,Arekere,Closed,4.0,"Healthie, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","Healthy Food,Salads,Keto,Juices,Desserts,Beverages",Applied for license
Food Ka Masti,Arekere,Closed,--,"Food Ka Masti, #526,B T S Layout, Nethaji Road,, Arekere Main Rd, Bengaluru, Karnataka 560076","South Indian,North Indian,Andhra,Beverages,Hyderabadi",License No. 21218009000363
InnerChef,Arekere,Closed,3.5,"InnerChef, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","North Indian,South Indian,Italian,Continental,Lebanese,Desserts,Beverages",Applied for license
Basmati's Briyani Nation,Arekere,Closed,3.6,"Basmati's Briyani Nation, NO.05, GROUND FLOOR, V N RESIDENCY, AVANI SHRINAGAR, NYANAPANAHALLI, BEHIND MC DONALD'S, HULIMAVU, BOMMANAHALLI, B.B.M.P SOUTH, BENGALURU, Karnataka",Indian,License No. 11219334001578
Midnight Joe's,Arekere,Closed,--,"Midnight Joe's, ""34/A 6th Main Raynaauv Mansion Puttenahalli Main Road JP Nagar 7th Phase, Jayanagar, B.B.M.P South (Karnataka), - 560078""","Chinese,American,Fast Food",License No. 21219193000323
New Prashanth Hotel,Arekere,Closed,3.8,"New Prashanth Hotel, #92,DSN plaza,1st floor,1st main near ever fine supermarket, jp nagar 7 th phase,opp.Tamara, bangalore-560078","Chinese,South Indian,North Indian,Beverages,Biryani",License No. 11219334001413
The Sandwich Club,Arekere,Closed,--,"The Sandwich Club, ""34/A 6th Main Raynaaux Mansion Puttenahalli Main Road JP Nagar 7th Phase, Bangalore South, Bangalore Urban (Karnataka), - 560078""","Chinese,North Indian",License No. 21219193000322
